HBA,hfus (kJ/mol),Tfus (K),Reference
Choline Chloride,4.3,597,https://www.sciencedirect.com/science/article/abs/pii/S0378381217301073
" 2,2-bypiridine",20.4,345,https://webbook.nist.gov/cgi/cbook.cgi?ID=C366187&Units=SI&Mask=4EF
"1,10-phenanthroline",30,391.1,https://www.researchgate.net/publication/245208599_Heat_capacities_and_molar_enthalpies_and_entropies_of_fusion_for_anhydrous_110-phenanthroline_and_29-dimethyl-110-phenanthroline
Diethylenetriamine,38.92,354.88,https://www.chemeo.com/cid/91-284-6/Diethylenetriamine-4-2-dimethylamino-ethyl-1-1-7-7-tetramethyl
Trihexylamine,69.37,313.7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C638675&Mask=7#ref-18
Alanine,10.89,555.82,https://www.chemeo.com/cid/30-017-9/Alanine
Valine,12.54,310.12,https://www.chemeo.com/cid/17-355-9/Valine
Leucine,15.13,321.39,https://www.chemeo.com/cid/15-216-5/Leucine
Tyrosine,26.25,508.34,https://www.chemeo.com/cid/64-180-1/Tyrosine
L-proline,17.92,372.79,https://www.chemeo.com/cid/15-740-3/Proline
Choline Acetate,362.62,324.15,https://www.sciencedirect.com/science/article/pii/S0378381217301073
"1,8-cinole",10.18,274.4,https://www.chemeo.com/cid/47-001-8/Eucalyptol
Atropine,35.5,388.5,https://webbook.nist.gov/cgi/inchi?ID=C51558&Mask=4
Betaine,4.3,305,https://pubchem.ncbi.nlm.nih.gov/compound/Betaine#section=Solubility
Fructose,28.46,506.61,https://www.chemeo.com/cid/56-374-5/Fructose
Glucose,31.42,414,https://webbook.nist.gov/cgi/cbook.cgi?ID=C492626&Mask=4
Lidocaine,16.4,340.7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C137586&Mask=4
Menthol,16.2,315.4,https://www.chemeo.com/cid/12-361-7/Levomenthol
Osthole,16.7,83.5 ,https://www.chemspider.com/Chemical-Structure.9811.html
sucrose,46.2,459,https://webbook.nist.gov/cgi/cbook.cgi?ID=C57501&Mask=1EFF
HBD,hfus (kJ/mol),Tfus (K),Reference
Imidazole,12.8,361.9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C288324&Mask=4
D-sorbitol,30.2,366.5,https://path.web.ua.pt/publications/cssc202001331s1.pdf
Thiourea,15.64,444.7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C62566&Mask=4
Thymol,19.65,323.5,https://path.web.ua.pt/publications/cssc202001331s1.pdf
Napthol,23.3,368.7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C90153&Units=SI&Mask=5
Acetamide,15.6,353,https://webbook.nist.gov/cgi/cbook.cgi?ID=C60355&Mask=1E9F
Glycerol,18.28,293,https://webbook.nist.gov/cgi/cbook.cgi?ID=C56815&Mask=4
Phenol,10.581,312.7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108952&Mask=4
Urea,14.6,407.2,https://path.web.ua.pt/publications/cssc202001331s1.pdf
Benzamide,19.15,402.1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C55210&Mask=4
"1,2-propanoldiol",6.88,258.9,https://www.chemeo.com/cid/68-056-5/1-2-Propanediol-2-methyl
"1,3-butanediol",10.77,241.48,https://www.chemeo.com/cid/70-290-2/1-3-Butanediol
"1,8-octanediol",36.1,332.8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C629414&Units=SI&Mask=384#ref-4
Aspirin,29.17,409.2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C50782&Mask=1A8F
Ibuprofen,39.5,350.4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C15687271&Mask=4
Mannose,54.7,387.9,https://webbook.nist.gov/cgi/inchi?ID=C115395636&Mask=4
Paracetamol,27.6,443.2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C103902&Mask=4
Prilocaine,147,311.5,https://pubs.acs.org/doi/10.1021/mp300542k
Vanilin,22.4,355.4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C121335&Mask=4
Xylitol,33.26,369,https://webbook.nist.gov/cgi/cbook.cgi?ID=C87990&Mask=4
Xylose,31.7,416.2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C58866&Mask=4EF
Tetracaine,-251.67,39.16,https://www.google.com/search?q=chemeo_57-196-2_Tetracaine.pdf&rlz=1C1TKQJ_jaJP1046JP1046&oq=chemeo_57-196-2_Tetracaine.pdf&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzQyNGowajSoAgCwAgA&sourceid=chrome&ie=UTF-8
